itemname,iteminfo,itemprice
Mitsubishi Triton D/Cab Glxr 2017,"< 1000km, Ute, 2442cc diesel engine, manual","$31,990"
Toyota RAV4 G 4WD 2007,"109,308km, RV/SUV, 2400cc, automatic","$12,295"
"Nissan Skyline 350GT TYPE S ** Low 34,000... 2007","33,809km, Sedan, 3490cc petrol engine, automatic","$15,990"
Ford Mustang Ecoboost 2.3L Fastback Auto 2017,"1,500km, Coupe, 2300cc, automatic","$59,880"
Volkswagen Touareg TDI 150KW BMT 2016,"8,000km, RV/SUV, 2967cc diesel engine, automatic","$76,995"
Isuzu D-Max Ls Terrain 2014,"56,500km, Ute, 2999cc diesel engine, automatic","$41,990"
BMW 116i 2008,"70,930km, Hatchback, 1600cc petrol engine, tiptronic","$10,999"
Nissan NV350 2.0lt 6 Seater 2013,"75,803km, Van, 2000cc petrol engine, automatic","$19,999"
Nissan Fuga 450GT 2005,"79,555km, Sedan, 4500cc petrol engine, tiptronic","$12,600"
Holden Commodore PIMMED OUT ## STORM TROOPER 2012,"171,736km, Sedan, 2986cc petrol engine, automatic","$16,990"
Ford Ranger Td Xl Rc W/S 2008,"215,710km, Ute, 2953cc diesel engine, manual","$14,000"
Subaru Impreza G4 2.0i-S 2013,"64,641km, Sedan, 2000cc petrol engine, tiptronic","$18,975"
Subaru Legacy 2.5 Premium new shape Eyesight 2016,"5,407km, Sedan, 2500cc petrol engine, automatic","$27,850"
Mazda Atenza Top-Spec EX 2.5L 2008,"87,000km, Sedan, 2500cc petrol engine, automatic","$10,800"
MINI Cooper S 2012,"64,000km, Station Wagon, 1590cc petrol engine, tiptronic","$22,900"
Mercedes-Benz ML 250 Blue Tec *NZ NEW* 2012,"46,889km, RV/SUV, 2143cc diesel engine, automatic","$49,950"
BMW 320d SEDAN *NZ NEW* 2014,"14,895km, Sedan, 1995cc diesel engine, automatic","$44,950"
Kia Picanto Gt-Line 2017,"< 1000km, Hatchback, 1248cc petrol engine, automatic","$19,490"
Holden HSV R8 Clubsport HSV R8 Clubsport 2006,"149,000km, Sedan, 6000cc petrol engine, automatic","$26,500"
Nissan Dualis 20G 2011,"54,000km, RV/SUV, 2000cc petrol engine, automatic","$16,995"
BMW 320i Station Wagon 2008,"14,027km, Station Wagon, 2000cc petrol engine, automatic","$15,990"
Nissan Tiida !! FREE !! FREE 1 YEAR WARRAN... 2008,"62,000km, Hatchback, 1490cc petrol engine, automatic","$6,995"
Toyota Kluger !! FREE !! FREE 1 YEAR WARRA... 2004,"82,000km, RV/SUV, 2360cc petrol engine, automatic","$9,995"
Nissan Murano 350XV *From $50 p/w 2006,"114,000km, Station Wagon, 3500cc petrol engine, automatic","$11,985"
Honda Elysion VZ *From $38 p/w 2005,"100,000km, Station Wagon, 3000cc petrol engine, automatic","$8,985"
BMW 523i Touring M sport 2010,"81,000km, Station Wagon, 2500cc petrol engine, automatic","$24,999"
Porsche Cayenne S Suv 2013,"61,570km, RV/SUV, 4134cc diesel engine, tiptronic","$94,800"
Mitsubishi Outlander **2WD/4WD+Paddle Shift** 2006,"89,700km, RV/SUV, 2400cc petrol engine, automatic","$12,990"
Mazda 3 SP23 2.3L AUTO 2008,"115,000km, Hatchback, 2300cc petrol engine, automatic","$13,990"
Ford Transit LWB Hi Roof 2013,"113,000km, Van, 2200cc diesel engine, manual","$31,990"
Nissan e-NV200 GX 5 SEATER 2015,"5,017km, Van, automatic","$25,495"
Hyundai ix35 2.0 2WD A6 2013,"51,000km, RV/SUV, 1998cc petrol engine, automatic","$24,990"
Holden Ute Sv6 2010,"233,000km, Ute, 3564cc petrol engine, automatic","$18,000 "
Toyota Blade Master G 2007,"125,262km, Hatchback, 3456cc petrol engine, automatic","$11,500 "
Mitsubishi Pajero Sport VRX 2.4D 4WD 2017,"< 1000km, RV/SUV, 2442cc diesel engine, automatic","$59,990"
Subaru Impreza WRX STi *6 Speed Manual* SP... 2011,"27,128km, Hatchback, 2000cc petrol engine, manual","$37,995"
Mitsubishi Mirage LS 1.2P CVT 5Dr Hatch 2014,"43,854km, Hatchback, 1198cc petrol engine, automatic","$9,800"
Lexus IS 250 IS250 Low Km No Deposit Finance 2006,"72,500km, Sedan, 2490cc petrol engine, automatic","$14,990"
Audi A4 2008,"85,933km, Station Wagon, 2000cc petrol engine, automatic","$8,650"
Jeep Grand Cherokee Limited 3.0D 4WD 8A 5D... 2014,"73,383km, Station Wagon, 2988cc diesel engine, automatic","$48,990"
Toyota Blade 2.4 2007,"33,412km, Hatchback, 2362cc petrol engine, automatic","$11,995"
Holden Colorado LTZ 4x4 2015,"39,500km, Ute, 2776cc diesel engine, manual","$39,995"
Land Rover Freelander MK 2 -3.2 V6 -4WD --... 2007,"53,800km, RV/SUV, 3192cc petrol engine, tiptronic","$16,500"
Mitsubishi Outlander LS 2.0 2WD 2017,"< 1000km, RV/SUV, 1998cc petrol engine, automatic","$32,990"
Subaru Exiga GT. Turbo. 7 Seats 2008,"95,300km, Station Wagon, 1990cc petrol engine, automatic","$12,999"
Ford Escape Titanium 2.0 Diesel 2016,"8,000km, RV/SUV, 2000cc diesel engine, automatic","$44,995"
BMW X3 2.5 MSport 2006,"46,129km, RV/SUV, 2493cc petrol engine, automatic","$18,995"
Nissan Note E POWER HYBRID X 2016,"4,165km, Hatchback, 1200cc hybrid engine, automatic","$25,955"
Holden Barina LS 1.6 2016,"16,272km, Hatchback, 1598cc petrol engine, automatic","$19,989"
Subaru Legacy 2.5i 2009,"95,720km, Station Wagon, 2457cc, automatic","$13,990"
Dodge Challenger SRT Hellcat 2016,"9,751km, Coupe, 6200cc petrol engine, automatic","$119,997"
Toyota Estima Aeras 3.5 V6 No Deposit Finance 2006,"89,775km, Station Wagon, 3456cc petrol engine, automatic","$10,490"
Suzuki Splash 5 Door 1.2lt 2008,"88,011km, Hatchback, 1200cc petrol engine, automatic","$7,900"
Nissan NV200 1.6lt 5 Door 2011,"109,335km, Van, 1600cc petrol engine, automatic","$12,999"
Mazda Atenza wagon sport 20s automatic 5 d... 2008,"75,669km, Station Wagon, 2000cc petrol engine, automatic","$11,990"
GMC Ute C20 1965,"999,999km, Ute, petrol engine, manual","$19,995"
Ford Kuga 2.0 TITANIUM AWD DIESEL 2016,"7,200km, RV/SUV, 2000cc diesel engine, automatic","$38,875"
Toyota Hiace Regius 2006,"80,000km, Van, 2000cc petrol engine, automatic","$17,990"
"Mazda 6 LIMITED, Diesel, Leather, Sunroof 2015","16,000km, Sedan, 2191cc diesel engine, automatic","$36,950"
Subaru Legacy 2.5I Sport Wagon 2013,"56,800km, Station Wagon, 2457cc petrol engine, tiptronic","$22,900"
Toyota Hiace ZL MINIBUS 2013,"116,140km, Van, 2700cc petrol engine","$29,995"
Nissan Lafesta - MANUKAU AA Appraised just... 2005,"122,504km, Station Wagon, 1990cc petrol engine, automatic","$4,930"
Toyota Passo Reduced Price!! HID Head Ligh... 2006,"95,900km, Hatchback, 1297cc petrol engine, automatic","$4,490"
Mercedes-Benz CLS 550 CLS550 NEW Facelift ... 2007,"93,800km, Coupe, 5500cc petrol engine, tiptronic","$17,995"
Suzuki Swift RS 1.0T Auto 5dr 2017,"< 1000km, Hatchback, 998cc 5 engine, automatic","$23,995"
Mazda Premacy **LOW KMS** 2006,"64,721km, Van, 2000cc petrol engine, automatic","$9,995"
Mazda Premacy 2008,"131,092km, Van, 2000cc petrol engine, tiptronic","$9,995"
Honda CR-V 4WD 24G 2012,"50,903km, RV/SUV, 2400cc petrol engine, automatic","$26,980"
Toyota Yaris GX 1.3P 4AT FWD HB/5D/5S 2016,"11,611km, Hatchback, 1298cc petrol engine, automatic","$18,888"
Mitsubishi Lancer GSR Sedan 2017,"< 1000km, Sedan, 1998cc petrol engine, automatic","$24,990"
Mitsubishi Triton GLX 4x4 Single Cab Chas ... 2017,"< 1000km, Ute, 2442cc diesel engine, automatic","$35,990"
Volkswagen Transporter LWB 2016,"2,800km, Van, 1968cc diesel engine, automatic","$59,995"
Toyota Ractis (LOW KMS) 2006,"85,680km, Hatchback, 1500cc petrol engine, automatic","$7,990"
Volkswagen Golf GTI 2008,"105,810km, Hatchback, 2000cc petrol engine, automatic","$13,999"
Mazda Demio - from $32.26 weekly - Taurang... 2005,"77,913km, Hatchback, 1300cc petrol engine, automatic","$5,474"
Jaguar XF R 2013,"41,167km, Sedan, 5000cc petrol engine, automatic","$69,990"
Honda Accord Euro S 2011,"113,548km, Sedan, 2400cc petrol engine, automatic","$13,950"
Jaguar XF 20D Prestige 2016,"6,200km, Sedan, 1999cc diesel engine, automatic","$59,990"
Jaguar XF S Luxury 2014,"44,450km, Sedan, 2993cc diesel engine, automatic","$54,990"
Volvo V60 C/country T5 AWD LUX 2016,"14,000km, Station Wagon, 2497cc petrol engine, automatic","$44,990"
Suzuki Swift 1.6 SPORT AUTO 2016,"19,100km, Hatchback, 1586cc petrol engine, tiptronic","$20,990"
Subaru Legacy !! FREE !! FREE 1 YEAR WARRA... 2007,"81,000km, Sedan, 1990cc petrol engine, automatic","$10,250"
Mercedes-Benz C 220 Cdi 2011,"60,500km, Coupe, 2143cc diesel engine, automatic","$26,000 "
Holden Barina LT 1.6 Auto 2017,"1,500km, Hatchback, 1598cc petrol engine","$20,990"
Mercedes-Benz E 63 E63 514 HP 2006,"65,322km, Sedan, 6200cc petrol engine, tiptronic","$32,490"
Toyota Blade 9 Airbags G model 2006,"95,893km, Hatchback, 2350cc petrol engine, automatic","$7,489"
Mazda Axela 3 New Shape - from $52.48 week... 2010,"106,217km, Sedan, 2000cc petrol engine, automatic","$9,974"
Land Rover Range Rover SDV8 Vogue SE 2017,"3,200km, RV/SUV, 4367cc diesel engine, automatic","$199,990"
"Volkswagen Golf FSi 26,000Km 2004","26,000km, Hatchback, 1600cc petrol engine, tiptronic","$6,990"
Mazda CX-5 20S 2012,"47,405km, RV/SUV, 2000cc petrol engine, tiptronic","$23,995"
Volkswagen Amarok DC 4M HL Auto 132kW 4WD! 2013,"75,658km, RV/SUV, 1968cc diesel engine, automatic","$38,990"
Renault Zoe i ZE40 R90 Dynamique Nav 2017,"1,000km, Hatchback, electric engine, automatic","$39,990"
Subaru Outback 25I CVT 2010,"93,145km, Station Wagon, 2457cc petrol engine","$17,990"
Mazda Axela 20S FACE-LIFT 2007,"111,208km, Hatchback, 2000cc petrol engine, automatic","$11,995"
Mazda BT-50 GLX 4X2 Single Cab 3.2TDCi 2017,"< 1000km, Ute, 3198cc diesel engine","$31,690"
Holden Barina RS 1.4T 2016,"11,010km, Hatchback, 1364cc petrol engine, automatic","$17,990"
"Audi A4 2.0 S-LINE AVANT 45,000Km 2006","45,000km, Station Wagon, 2000cc petrol engine, tiptronic","$11,990"
Nissan Qashqai 2013,"53,750km, RV/SUV, 1998cc petrol engine, automatic","$22,999"
Mercedes-Benz C 200 C OWN IT FROM $47 P/W* 2004,"112,614km, Coupe, 1998cc petrol engine, automatic","$6,490"
Isuzu D-Max LS Manual DC 2WD - RT87 2017,"4,800km, Ute, 2999cc diesel engine, manual","$37,990"
Mazda BT-50 GSX 4X2 Doublecab Auto 2017,"< 1000km, Ute, 3198cc diesel engine, automatic","$38,690"
Mazda Demio 13C-V HID EDITION 2010,"70,909km, Hatchback, 1300cc petrol engine, automatic","$9,200"
Nissan March 1.2S HATCH 2008,"12,059km, Hatchback, 1200cc petrol engine, automatic","$8,995"
Land Rover Discovery 3 G4 From $79.56 Weekly 2006,"136,000km, RV/SUV, 4000cc, automatic","$16,990"
Audi Q5 3.0Tdi Q S Tronic 2012,"74,000km, RV/SUV, 2967cc diesel engine, tiptronic","$39,900"
Volkswagen Polo Gti 1.4 132Kw 2011,"74,000km, Hatchback, 1389cc petrol engine, automatic","$13,995"
Toyota RAV4 GXL FWD 2.0P SUV/5 CVT (ZSTM-NM1) 2016,"35,693km, Station Wagon, 1987cc petrol engine, automatic","$33,385"
Suzuki Swift 2006,"78,472km, Hatchback, 1320cc petrol engine, manual","$6,995"
Toyota Estima 2004,"105,699km, Station Wagon, 2400cc petrol engine, automatic","$6,995"
Jaguar XK8 4.2S 2005,"80,424km, Coupe, 4196cc petrol engine, automatic","$38,000"
Hyundai iMax 2.5 Crdi Auto 8 Seater $176 p/w* 2015,"46,000km, Van, 2497cc diesel engine, automatic","$33,990"
Toyota Wish FROM $44 PER WEEK !! CERTIFIED... 2008,"93,645km, Station Wagon, 1794cc petrol engine, automatic","$7,495"
Toyota Corolla 1.8P GX HATCH 5 4A 2012,"84,253km, Hatchback, 1798cc petrol engine, automatic","$12,990"
Holden Cruze CDX 1.8L Auto 2010,"74,109km, Sedan, 1796cc petrol engine, automatic","$11,990"
Mazda CX-5 2012,"88,352km, Station Wagon, 2180cc diesel engine, automatic","$22,900"
Hyundai Getz Hatch 1.4L Auto 2010,"82,977km, Hatchback, 1399cc petrol engine, automatic","$5,990"
Subaru Forester 2.0lt 4WD 6-Speed Manual 2015,"48,945km, RV/SUV, 2000cc petrol engine, manual","$23,999"
Toyota Hiace Regius GL Package 5 Door 2009,"132,695km, Van, 2000cc petrol engine, automatic","$18,999"
Mazda Axela NO DEPOSIT FINANCE T.A.P 2010,"36,048km, Hatchback, 1500cc petrol engine, automatic","$13,990"
Nissan Tiida 15M Facelift Model 2009,"83,879km, Hatchback, 1500cc petrol engine, automatic","$8,900"
Holden Colorado LTZ 2012,"134,546km, Ute, 2800cc diesel engine, automatic","$32,995"
Toyota Vitz 1.3 LTD 2008,"54,582km, Hatchback, 1300cc petrol engine, automatic","$8,995"
Mercedes-Benz C 200 CGI 56OOOKMS LEATHER 2010,"56,000km, Sedan, 1800cc petrol engine, tiptronic","$19,897"
Nissan Tiida 15S Facelift Model 2007,"90,075km, Hatchback, 1500cc petrol engine, automatic","$6,950"
Nissan Fuga Hybrid 3.5lt V6 2012,"95,920km, Sedan, 3500cc hybrid engine, tiptronic","$23,900"
Nissan Juke 15RX 2010,"84,235km, Hatchback, 1500cc petrol engine, automatic","$14,999"
Toyota Avensis Wagon Xi 2012,"113,940km, Station Wagon, 2000cc petrol engine, tiptronic","$14,999"
Dodge Journey R/T 3.6P 5A 5Dr Wagon GET 1/... 2013,"53,369km, Station Wagon, 3605cc petrol engine, automatic","$29,990"
Jeep Wrangler Sport 3.8P 5A 4Dr Wagon 2007,"103,646km, Station Wagon, 3778cc petrol engine, automatic","$26,990"
Peugeot 207 Sportium 2012,"89,821km, Hatchback, 1597cc petrol engine, automatic","$9,500 "
Subaru Legacy GT 2009,"117,500km, Station Wagon, 2457cc petrol engine, automatic","$14,500 "
Mazda Premacy 2000,"299,100km, Hatchback, 1830cc petrol engine, automatic","$1,690 "
Subaru Legacy GT Turbo 2006,"170,000km, Station Wagon, 1994cc petrol engine, automatic","$6,900 "
Lexus RC 350 (MW) Limited 2015,"8,763km, Coupe, 3456cc petrol engine, automatic","$67,990"
Suzuki Swift SPORT 1.6 KEYLESS 15'MAGS 2007,"98,201km, Hatchback, 1600cc petrol engine, manual","$8,240"
Toyota Avensis WAGON LI 2008,"52,471km, Station Wagon, 2360cc petrol engine, automatic","$13,990"
Mazda Atenza Sport Manual 2006,"129,319km, Hatchback, 2260cc, manual","$9,990"
Mazda 6 Wagon Gsx 2.5 6At Pt 2013,"85,767km, Station Wagon, 2500cc, automatic","$23,990"
Mazda Axela Hatchback 2009,"86,796km, Hatchback, 1990cc, automatic","$13,990"
Ford Mondeo MD TREND DIES HATCH P/SHIFT 6S A 2016,"21,600km, Hatchback, 2000cc diesel engine, automatic","$34,990"
Suzuki Swift XL GOOD COND. PUSH START 2010,"92,603km, Hatchback, 1200cc petrol engine, automatic","$10,980"
Lexus IS 250 Version S 2007,"80,860km, Sedan, 2500cc petrol engine, automatic","$13,990"
Mercedes-Benz A 180 A180 BLUEEFFICIENCY 2013,"80,460km, Hatchback, 1600cc petrol engine, automatic","$25,950"
Toyota FJ Cruiser 2012,"106,000km, RV/SUV, 4000cc petrol engine, automatic","$33,980"
Peugeot 2008 Allure 2017,"5,033km, RV/SUV, 1199cc petrol engine, automatic","$27,890"
Mazda Premacy !! FREE !! FREE 1 YEAR WARRA... 2008,"87,806km, Van, 1990cc petrol engine, automatic","$7,250"
BMW 320i 2008,"79,000km, Sedan, 2000cc petrol engine, automatic","$9,995"
Suzuki Swift XG **Matt&Magz Ver. All New 1... 2008,"72,530km, Hatchback, 1200cc petrol engine, automatic","$10,990"
Mercedes-Benz C 63 S EDITION 1 *NZ NEW* 2015,"20,000km, Sedan, 4000cc petrol engine, tiptronic","$114,995"
Nissan Lafesta 20S 2005,"48,319km, Van, 2000cc petrol engine","$7,995"
Toyota Hilux SR5 4WD 3.0 Doublecab Ute 2013,"96,756km, Ute, 2982cc diesel engine, manual","$40,990"
Bentley Continental GT Speed W12 2014,"15,000km, Coupe, 5998cc petrol engine, automatic","$189,990"
Toyota RAV4 2.0P 4WD Wagon3 4A (ACZP-NM1) 2002,"115,759km, Station Wagon, 1998cc petrol engine, automatic","$8,995"
Nissan Wingroad !! FREE !! FREE 1 YEAR WAR... 2009,"46,000km, Station Wagon, 1790cc petrol engine, automatic","$9,495"
Hyundai Santa Fe DM2 Highlander 7 Seater 2015,"9,022km, RV/SUV, 2200cc diesel engine, automatic","$48,500"
Toyota Auris 180G S PACKAGE 2010,"65,829km, Hatchback, 1800cc petrol engine, tiptronic","$13,995"
Toyota Ipsum 2004,"124,840km, Station Wagon, 2400cc petrol engine, automatic","$5,990"
Holden SV6 VE2 3.6LSiDi 6AT Ute(MY12) 2012,"103,120km, Ute, 3564cc petrol engine, automatic","$26,995"
Mitsubishi Outlander XLS 2.4L 4WD 2013,"88,000km, RV/SUV, 2360cc petrol engine, automatic","$24,990"
Mitsubishi Outlander XLS 2.3L TD 2015,"61,000km, RV/SUV, 2268cc diesel engine, automatic","$31,000"
Jaguar XK8 4000cc V8 2 door coupe 1996,"81,167km, Coupe, 4000cc petrol engine, automatic","$17,990"
Dodge Journey R/T 3.6P 6A 5Dr Wagon 2012,"82,813km, Station Wagon, 3604cc petrol engine, automatic","$24,990"
Hyundai Santa Fe DM 2.2D 7S 2013,"220,250km, Station Wagon, 2199cc diesel engine, automatic","$22,950"
Honda Civic **From $43.81 p/w**1.8L**Low K... 2008,"56,697km, Sedan, 1800cc petrol engine, automatic","$8,599"
Nissan Dualis 20G *Glass Roof* 2008,"85,502km, RV/SUV, 2000cc petrol engine, automatic","$12,995"
BMW X6 M 50D M Sports 2015,"19,000km, RV/SUV, 3000cc diesel engine, tiptronic","$99,995"
Mercedes-Benz SL 350 Grade 4.5 2004,"54,760km, Convertible, 3700cc petrol engine","$23,995"
Mercedes-Benz V 350 Ambiente LWB 2007,"39,100km, Van, 3700cc petrol engine, automatic","$21,500"
Audi A8 3.0 TFSi Quattro Full Leather 2011,"84,500km, Sedan, 3000cc petrol engine, tiptronic","$36,995"
Audi A5 3.2 FSi Quattro - Full Leather 2010,"56,050km, Coupe, 3200cc petrol engine, tiptronic","$28,995"
Audi A4 Allroad 2.0 TFSi Quattro FULL LEATHER 2011,"57,260km, Station Wagon, 2000cc petrol engine, tiptronic","$29,995"
Audi A4 S LINE AVANT 2.0L 2008,"95,510km, Station Wagon, 2000cc petrol engine, automatic","$13,450"
Mercedes-Benz GL 350 CDi 3.0 V6 4-MATIC 2010,"139,000km, RV/SUV, 3000cc diesel engine, automatic","$44,990"
Audi A4 2.0 DYNAMIC S-LINE AVANT LEATHER 2008,"53,000km, Station Wagon, 2000cc petrol engine, tiptronic","$13,990"
Subaru Legacy B-Sport *From $46 p/w 2008,"94,000km, Station Wagon, 2000cc petrol engine, automatic","$10,985"
Nissan Teana 350JM *From $42p/w 2006,"85,000km, Sedan, 3500cc petrol engine, automatic","$9,985"
Toyota Hilux Td Sc 2011,"115,000km, Ute, 2982cc diesel engine, manual","$18,000"
Holden Colorado 7 Trailblazer LTZ 2.8L Tur... 2017,"8,000km, RV/SUV, 2776cc diesel engine, automatic","$52,990"
Holden Trailblazer LTZ Colorado 7 Trailbla... 2017,"3,087km, RV/SUV, 2776cc diesel engine, automatic","$54,975"
Ford Territory Ghia Awd 2006,"182,626km, Station Wagon, 3984cc petrol engine, automatic","$11,995"
Toyota Corolla GX 1.8L Hatch 2015,"56,923km, Hatchback, 1798cc petrol engine, automatic","$19,990"
Honda Fit Jazz - from $30.02 weekly - Manu... 2004,"45,447km, Hatchback, 1300cc petrol engine, automatic","$4,974"
Toyota Caldina GT-FOUR 2005,"99,606km, Station Wagon, 2000cc petrol engine, automatic","$12,999"
Ford Fiesta S - LOW KMs 2009,"55,861km, Hatchback, 1388cc petrol engine, automatic","$12,990"
Subaru Impreza 2.0s 2009,"97,159km, Hatchback, 2000cc petrol engine","$10,995"
Audi A6 Avant 2.0 TFSI quattro 2017,"< 1000km, Station Wagon, 1984cc petrol engine, automatic","$99,900"
"Rolls-Royce Ghost *As new, with only 300km... 2016","< 1000km, Sedan, 6592cc petrol engine, automatic","$399,950"
Chevrolet Camaro 2SS/RS Auto 6.2L V8 2015 2015,"11,200km, Coupe, 6200cc petrol engine, tiptronic","$59,990"
Ford Territory TS AWD Diesel 2014,"62,000km, RV/SUV, 2720cc diesel engine, automatic","$34,999"
Audi RS5 4.2 V8 FSI Quattro 2011,"72,884km, Coupe, 4163cc petrol engine, automatic","$52,990 "
Nissan Vanette 5 Door 1.8lt Petrol 2008,"115,637km, Van, 1800cc petrol engine, manual","$9,999"
Kia Cerato Lx 2016,"15,500km, Hatchback, 1999cc petrol engine, automatic","$20,900 "
Chevrolet Pickup C10 1983,"9,363km, Ute, 5000cc petrol engine, automatic","$14,400 "
Volkswagen Golf TSI Reversing Camera 2009,"133,300km, Hatchback, 1389cc petrol engine, automatic","$8,500"
Maserati Ghibli 3.0 Diesel Turbo 2016,"29,400km, Sedan, 2987cc diesel engine, automatic","$75,990"
Ford Territory Titanium 2012,"126,777km, RV/SUV, 2720cc diesel engine, automatic","$26,500 "
Toyota Caldina ZT 2004,"171,564km, Station Wagon, 1998cc petrol engine, automatic","$5,000 "
Toyota Hilux Td Sr5 Dcu 2005,"199,000km, Ute, 2982cc diesel engine, manual","$22,500"
Jaguar XF Premium Luxury 2008,"101,000km, Sedan, 3000cc petrol engine, tiptronic","$18,999"
Mazda CX-5 GSX 2WD AUTO PETROL NZ NEW 2013,"59,000km, Station Wagon, 1998cc petrol engine, automatic","$28,990"
Land Rover Discovery 430HP plus HSE 2009,"121,000km, RV/SUV, 5000cc petrol engine, tiptronic","$48,500"
Subaru Legacy GT-B 2006,"162,300km, Station Wagon, 1994cc petrol engine, automatic","$9,200 "
Jeep Grand Cherokee SRT8 6.4P 8A 5Dr Wagon 2014,"46,320km, Station Wagon, 6417cc petrol engine, automatic","$79,990"
Holden Commodore SS-V SPECIAL EDITION 2010,"150,736km, Sedan, 5967cc petrol engine, automatic","$29,975"
Mazda Axela 20S FACELIFT LOW 39KM!!! 2006,"39,500km, Hatchback, 2000cc petrol engine, automatic","$10,980"
Nissan Skyline 250GT LOW 82KM SPECIAL! 2007,"82,500km, Sedan, 2500cc petrol engine, automatic","$11,840"
Toyota Prius L 2014,"27,164km, Hatchback, 1800cc petrol engine, automatic","$18,430"
Mazda Demio Sport 1500cc 2008,"72,000km, Hatchback, 1500cc petrol engine, automatic","$8,850"
Subaru Legacy 73OOOKMS S-STYLE AWD WAGON 2011,"73,061km, Station Wagon, 2500cc petrol engine, tiptronic","$16,877"
Mercedes-Benz CLS 350 Low KMS Leather Sunroof 2008,"73,901km, Sedan, 3500cc petrol engine, tiptronic","$21,932"
Toyota 86 GT Limited 61OOOKMS 2015,"61,303km, Coupe, 2000cc petrol engine, tiptronic","$28,879"
Toyota Vanguard 240S 2009,"105,377km, RV/SUV, 2400cc petrol engine, automatic","$15,470"
Subaru Legacy 2005,"144,977km, Sedan, 1990cc petrol engine, tiptronic","$6,990"
Nissan Lafesta 7 seater 2006,"99,058km, Station Wagon, 2000cc petrol engine, automatic","$4,989"
Nissan Murano 350XV 3.5 V6 4WD LEATHER 2008,"73,259km, RV/SUV, 3500cc petrol engine, automatic","$15,470"
Toyota RAV4 4WD G LOW 69KM SPECIAL!!! 2006,"69,500km, RV/SUV, 2400cc petrol engine, automatic","$13,980"
Mitsubishi Jeep OWN IT FROM $133 P/W* 1995,"76,379km, RV/SUV, 2650cc diesel engine, manual","$19,990"
Toyota Vellfire Golden Eyes Special Ltd Ed 2017,"< 1000km, Van, 2500cc petrol engine, tiptronic","$69,995"
Nissan Murano - from $43.51 weekly - Botan... 2004,"121,659km, RV/SUV, 2488cc petrol engine, automatic","$7,979"
Ford Falcon BA Fairmont 2004,"154,231km, Sedan, 3984cc petrol engine, automatic","$6,990"
"Toyota Corolla SX Levin Hatch,1.8L , CVT 2016","17,911km, Hatchback, 1798cc petrol engine, automatic","$26,990"
Toyota Harrier 350G PREMIUM L PACKAGE 2008,"91,772km, RV/SUV, 3500cc petrol engine, automatic","$14,990"
Suzuki Grand Vitara Wjlxa 2006,"149,050km, RV/SUV, 2736cc petrol engine, automatic","$11,500 "
Jeep Grand Cherokee Overland 3 2017,"< 1000km, RV/SUV, 3000cc diesel engine, automatic","$92,990"
Nissan Wingroad 1800CC LOW 42KM SPECIAL!!! 2010,"42,500km, Station Wagon, 1800cc petrol engine, automatic","$9,480"
Audi S5 Spback 3.0Tfsi Qu 2015,"23,208km, Hatchback, 2995cc petrol engine, automatic","$65,995"
Honda Stream RSZ 2006,"2,401km, Station Wagon, 2000cc petrol engine, automatic","$12,990"
Nissan Skyline - from $47.98 weekly - Perf... 2007,"102,251km, Sedan, 2500cc petrol engine, automatic","$8,974"
Holden Captiva 7 LTZ 2.2 Diesel AWD 2015,"65,877km, RV/SUV, 2231cc diesel engine, automatic","$29,950"
Nissan Skyline 370GT MANUAL COUPE 2007,"114,662km, Coupe, 3700cc petrol engine, manual","$23,980"
Renault Megane Gt Hatch 1.6P/7Am 2017,"1,300km, Hatchback, 1618cc petrol engine, automatic","$46,900"
Mitsubishi Galant Ralliart Sport 2009,"104,131km, Sedan, 2000cc petrol engine","$19,999"
Volkswagen Golf 1600 FSI 2005,"50,004km, Hatchback, 1590cc petrol engine, automatic","$8,999"
Volkswagen Golf 1600 FSI 2007,"57,787km, Hatchback, 1600cc petrol engine, automatic","$9,999"
Land Rover Freelander 2 S 4WD 2007,"84,148km, RV/SUV, 3200cc petrol engine, automatic","$17,980"
Honda CR-V IL-D 2006,"79,000km, RV/SUV, 2400cc petrol engine, automatic","$11,980"
Jaguar XF 3.0 Luxury 2011,"37,200km, Sedan, 3000cc petrol engine, automatic","$32,980"
Mazda Atenza 25Z Sport 2008,"95,200km, Hatchback, 2500cc petrol engine, automatic","$13,980"
Nissan Note 15X 2010,"71,619km, Hatchback, 1500cc petrol engine, automatic","$8,980"
Holden HSV Maloo # 340 KW !! 2013,"67,263km, Ute, 6200cc petrol engine, automatic","$62,990"
Toyota RAV4 GXL 2.5L AWD 2016,"54,760km, RV/SUV, 2494cc petrol engine, automatic","$33,800"
Holden Captiva LX 4WD 2013,"65,450km, RV/SUV, 2997cc petrol engine, automatic","$25,995"
Suzuki Escudo Free Servicing & Warranty! 2006,"28,400km, RV/SUV, 2736cc petrol engine, automatic","$17,990"
Honda Jazz RS 2016,"7,873km, Hatchback, 1500cc petrol engine, automatic","$23,950"
Holden Commodore STUNNING SV6 # PRICED TO ... 2007,"188,355km, Sedan, 3564cc petrol engine, automatic","$14,990"
Nissan Bluebird SYLPHY NEW SHAPE!! - from ... 2006,"101,767km, Sedan, 2000cc petrol engine, automatic","$5,974"
Subaru Legacy - from $39.00 weekly - Waira... 2006,"71,726km, Station Wagon, 2000cc petrol engine, automatic","$6,974"
Honda Insight S 2010,"74,825km, Hatchback, 1339cc petrol engine, automatic","$11,950"
